country,year,CO2,GHG(Indirect CO2),GHG,HFC,CH4,NF3,N2O,PFC,SF6,HFC+PFC
Canada,1996,510619.682210148,690743.642261192,684666.716478192,1165.50735923192,116885.460266137,0.272431373276,47724.3995197404,6502.74608743939,1768.64860412124,null
Canada,1997,525120.011175522,702636.426437771,700407.404391771,1568.52633809529,118988.193047761,0.263760910724,46527.870911098,6374.9048486145,1827.63430976918,null
Canada,1998,533794.453645326,728148.99665231,707998.08348331,2172.32499194863,120647.45834463,0.255090448,42548.8743217178,6477.23123443947,2357.48585480026,null
Canada,1999,550183.063388038,729415.115205006,721673.246637006,2805.99692329725,120592.533776685,0.246419985276,40309.5164172252,5371.78677818714,2410.10293358714,null
Canada,2000,572290.385518472,745991.030964409,744240.711985409,3400.32843106704,120724.87183077,0.237749522724,39936.356635356,4985.56832459483,2902.96349562637,null
Canada,2001,564617.020300164,737198.311959851,733454.185192851,3787.72934805573,119920.258788481,0.22907906,38523.214474169,4048.62755988282,2557.10564303854,null
Canada,2002,569862.145645112,752124.480865682,736272.786375682,4270.18947175995,117504.637070844,0.220408597276,38156.7745435737,3463.00536534033,3015.81387045521,null
Canada,2003,587306.678537712,766107.894942836,754970.648842836,4615.42427946863,116809.277477492,0.211738134724,40097.5345772836,3490.08719858864,2651.43503415668,null
Canada,2004,585414.860574334,769691.185364662,756240.206617662,5215.22602334514,117419.386086716,0.203067672,42328.241861865,3522.38338801992,2339.90561570986,null
Canada,2005,579225.335719904,753897.578284867,747457.793974867,5677.87853198177,116434.331258317,0.194397209276,40863.4283663269,3839.26384509145,1417.36185603715,null
Canada,2006,573479.269701141,746308.214382233,738096.488069233,5828.26843309005,115516.052739182,0.185726746724,38759.9393800432,2986.03241274414,1526.73967628596,null
Canada,2007,596041.321973836,766021.806890764,758431.179853764,6222.86895974681,113213.994030922,0.177056284,39691.9656662167,2534.65909001609,726.19307674164,null
Canada,2008,577444.930222255,743519.658507859,739036.728085859,6123.51593465702,110540.258265441,0.168385821276,41681.6457531807,2601.86447951403,644.345044990212,null
Canada,2009,542829.458896225,702098.419634983,696312.196588983,6698.9587209381,106149.435212774,0.159715358724,37749.5907018662,2510.72426252695,373.869079293732,null
Canada,2010,555003.760260925,718178.080242569,706402.873508569,7477.16505279579,103730.441039052,0.151044896,37891.753748992,1859.18101828115,440.421343627104,null
Canada,2011,558152.72293811,722862.506881868,709764.469822868,7991.64027238382,103884.67007464,0.151044896,37652.726724076,1687.38042043144,395.178348331044,null
Canada,2012,563423.613154917,729475.888683575,718346.886921575,8277.68017933566,105633.624841341,0.151044896,38773.5415647623,1798.64304954706,439.633086776184,null
Canada,2013,573094.038846396,737423.135272495,731424.089563495,8564.62124615997,107063.129352267,0.151044896,40647.0631927479,1617.10472606783,437.98115496006,null
Canada,2014,574099.775511611,747171.872611087,732418.883208087,9024.46042768536,108436.716890674,0.151044896,39407.1108706383,1088.03684332993,362.631619252044,null
Croatia,1990,23390.075209187,31204.6312635073,31204.6312635073,null,3770.71776073763,null,2793.14962938266,1240.238592,10.4500722,null
Croatia,1991,17268.9103457996,24408.6837858286,24408.6837858286,null,3625.91574246337,null,2652.77362136561,850.751424,10.3326522,null
Croatia,1992,16607.1344792414,22538.033900319,22538.033900319,null,3227.33608899515,null,2693.14631988244,null,10.4170122,null
Croatia,1993,17081.2280227503,22658.2944835065,22658.2944835065,null,3260.04156278717,null,2306.49417076897,null,10.5307272,null
Croatia,1994,16342.1818762402,21712.7639767596,21712.7639767596,null,3034.34843612463,null,2325.58979219483,null,10.6438722,null
Croatia,1995,16992.8004192757,22296.1672493651,22296.1672493651,57.279335,2986.63717495509,null,2248.32964293429,null,11.1206772,null
Croatia,1996,17587.8984604534,22882.9631499268,22882.9631499268,80.066539,2968.51300596132,null,2234.91559231208,null,11.5695522,null
Croatia,1997,18666.4669752133,24126.2737653358,24126.2737653358,106.138843,2908.31403017727,null,2433.92669374514,null,11.4272232,null
Croatia,1998,19372.3876004329,24459.7108462523,24459.7108462523,139.060601,2866.64655382612,null,2069.62684779324,null,11.9892432,null
Croatia,1999,20215.653226001,25519.0833654255,25519.0833654255,166.6979895,2847.59085469199,null,2277.14868903243,null,11.9926062,null
Croatia,2000,19789.1217501208,25172.9628559273,25172.9628559273,199.209344,2785.33822318065,null,2387.67171742591,null,11.6218212,null
Croatia,2001,20943.1099586839,26394.0456777833,26394.0456777833,224.96256,2844.14784113738,null,2370.13253176201,null,11.6927862,null
Croatia,2002,22031.1266650621,27420.0965723045,27420.0965723045,261.9265545,2838.3026167308,null,2276.72903481168,null,12.0117012,null
Croatia,2003,23355.2211046544,28782.8213260193,28782.8213260193,304.770123,2936.87051081454,null,2173.68198135036,null,12.2776062,null
Croatia,2004,23005.2348535353,28875.9847673693,28875.9847673693,347.888372,3061.84419542201,null,2448.45046521196,null,12.5668812,null
Croatia,2005,23451.8458466746,29285.7515786302,29285.7515786302,386.117676,3029.46175248614,null,2405.29943226947,null,13.0268712,null
Croatia,2006,23684.9350307817,29555.682228908,29555.682228908,422.6992587,3100.59041226758,null,2334.44929495875,null,13.0082322,null
Croatia,2007,24955.3759314165,30972.9120898759,30972.9120898759,469.5146916,3114.80205676473,null,2420.17013254078,null,13.049277553896,null
Croatia,2008,23715.3843178607,29825.9471994577,29825.9471994577,490.3328081,3153.40276223641,null,2454.85122489478,null,11.976086365836,null
Croatia,2009,21965.6352675347,27909.1256955995,27909.1256955995,495.6468735,3214.901482772,null,2224.65623070275,0.25788015,8.02796094,null
Croatia,2010,21183.709310531,27280.229834957,27280.229834957,543.951452,3243.5128716914,null,2300.07156763452,0.0339003,8.9507328,null
Croatia,2011,20614.4404738916,26773.8263390969,26773.8263390969,563.133823,3230.31536846447,null,2356.55447754079,0.016777,9.3654192,null
Croatia,2012,18776.3813482483,24734.6498197466,24734.6498197466,564.960584,3167.14806901099,null,2216.92191738725,0.0311699,9.2067312,null
Croatia,2013,18359.4998410627,23770.5527686019,23770.5527686019,577.71128114,3129.72543393844,null,1697.40303822074,0.05981904,6.1533552,null
Croatia,2014,17607.3224145688,22898.8781594815,22898.8781594815,582.7729385,3080.40853019068,null,1621.47305302201,0.059536,6.8416872,null
Cyprus,1990,4621.007176785,5624.6499220004,5624.6499220004,0.1456139,693.566622225,null,309.9047424,null,0.0257666904,null
Cyprus,1991,5107.082886881,6121.529001151,6121.529001151,0.1555962,704.35598565,null,309.9044444,null,0.03008802,null
Cyprus,1992,5482.974869661,6559.3306354766,6559.3306354766,0.164247,733.57027363,null,342.5869984,null,0.0342467856,null
Cyprus,1993,5733.674102128,6858.74068732256,6858.74068732256,0.21710900486,761.6780691625,null,363.1329064,null,0.0385006272,null
Cyprus,1994,5977.257104602,7103.13267836446,7103.13267836446,0.70303857236,773.1755828925,null,351.946642,null,0.0503102976,null
Cyprus,1995,5848.043785196,7046.93261063203,7046.93261063203,2.69892459923,797.53350701,null,398.598244,null,0.0581498268,null
Cyprus,1996,6156.132133961,7343.53788019567,7343.53788019567,3.60691995597,819.0833783575,null,364.649488,null,0.0659599212,null
Cyprus,1997,6287.031657389,7473.09509160237,7473.09509160237,6.08703553517,826.651706795,null,353.25516,null,0.0695318832,null
Cyprus,1998,6580.296149717,7799.55925734513,7799.55925734513,9.37855739723,830.2704043625,null,379.546806,null,0.0673398684,null
Cyprus,1999,6847.659115972,8059.08339104404,8059.08339104404,14.14401605844,831.09081945,null,366.12429,null,0.0651495636,null
Cyprus,2000,7095.964384675,8326.88573407511,8326.88573407511,20.37717528271,847.453418015,null,363.015256,null,0.0755001024,null
Cyprus,2001,6969.466175788,8282.54807082145,8282.54807082145,30.84772331695,887.6023426025,null,394.555278,null,0.076551114,null
Cyprus,2002,7160.388457603,8519.08140283278,8519.08140283278,41.18802976448,921.2514937525,null,396.171332,null,0.0820897128,null
Cyprus,2003,7550.081927808,8914.58309273857,8914.58309273857,52.54081794487,917.7058670025,null,394.165494,null,0.0889859832,null
Cyprus,2004,7776.909404745,9144.37142221279,9144.37142221279,67.17961355949,914.7121712975,null,385.4701073,null,0.1001253108,null
Cyprus,2005,7961.983988964,9307.98055927861,9307.98055927861,92.60439280661,894.24997675,null,359.0261833,null,0.116017458,null
Cyprus,2006,8152.492308125,9567.54719307495,9567.54719307495,144.71433449875,894.0424515,null,376.1754873,null,0.1226116512,null
Cyprus,2007,8458.664261444,9913.23461665865,9913.23461665865,169.81829635925,915.518720925,null,369.0948583,null,0.1384796304,null
Cyprus,2008,8620.395581741,10093.2699679916,10093.2699679916,195.30984187324,919.096319925,null,358.3156917,null,0.1525327524,null
Cyprus,2009,8372.396591774,9872.18368832317,9872.18368832317,221.84035616137,921.274583825,null,356.5110335,null,0.1611230628,null
Cyprus,2010,8004.912020822,9571.65722046227,9571.65722046227,246.34422076147,943.41757105,null,376.8326965,null,0.1507113288,null
Cyprus,2011,7696.667805268,9296.16313035284,9296.16313035284,274.70430521584,962.211507475,null,362.4272573,null,0.152255094,null
Cyprus,2012,7160.971875548,8769.36602589842,8769.36602589842,315.74235594302,937.200815325,null,355.2934651,null,0.1575139824,null
